date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:23	408893/408893	---MCZ	200	added ('OK')	image/png	etag:W/%2259f00ea6-63d3d%22	https://www.waldorf-group.com/public/img/content_login_bg.png	waldorf/waldorf/www.waldorf-group.com/public/img/content_login_bg.png	(from https://www.waldorf-group.com/public/css/waldorf.css)
11:03:24	64784/64784	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-fd10%22	https://www.waldorf-group.com/public/img/content_about_history.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_about_history.jpg	(from https://www.waldorf-group.com/about.php)
11:03:25	58959/58959	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-e64f%22	https://www.waldorf-group.com/public/img/content_about_future.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_about_future.jpg	(from https://www.waldorf-group.com/about.php)
11:03:28	47935/47935	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-bb3f%22	https://www.waldorf-group.com/public/img/content_about_team.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_about_team.jpg	(from https://www.waldorf-group.com/about.php)
11:03:28	96144/96144	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-17790%22	https://www.waldorf-group.com/public/img/content_group_financial.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_group_financial.jpg	(from https://www.waldorf-group.com/companies.php)
11:03:28	166519/166519	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-28a77%22	https://www.waldorf-group.com/public/img/content_group_property.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_group_property.jpg	(from https://www.waldorf-group.com/companies.php)
11:03:31	44913/44913	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-af71%22	https://www.waldorf-group.com/public/img/content_group_entertainment.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_group_entertainment.jpg	(from https://www.waldorf-group.com/companies.php)
11:03:31	81043/81043	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-13c93%22	https://www.waldorf-group.com/public/img/content_group_casino.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_group_casino.jpg	(from https://www.waldorf-group.com/companies.php)
11:03:31	54745/54745	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-d5d9%22	https://www.waldorf-group.com/public/img/content_group_fisheries.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_group_fisheries.jpg	(from https://www.waldorf-group.com/companies.php)
11:03:32	79470/79470	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-1366e%22	https://www.waldorf-group.com/public/img/content_contact_map.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/content_contact_map.jpg	(from https://www.waldorf-group.com/contact.php)
